lat,long
-5.081,-50.548
-5.035,-50.482
-5,-50.502
-5.002,-50.511
-3.748,-42.286
-3.752,-42.314
-4.998,-50.676
-4.999,-50.685
-4.557,-48.118
-4.802,-49.888
-4.804,-49.897
-4.72,-49.759
-4.721,-49.768
-4.843,-50.692
-4.845,-50.701
-4.846,-50.71
-4.564,-48.867
-4.565,-48.876
-4.235,-46.765
-4.115,-46.042
-4.422,-48.325
-4.739,-50.86
-4.693,-50.799
-4.614,-50.372
-4.223,-47.723
-4.479,-49.621
-3.944,-46.052
-3.946,-46.065
-4.605,-50.565
-4.606,-50.574
-3.933,-46.053
-3.935,-46.067
-4.151,-47.644
-4.151,-47.651
-4.598,-50.911
-4.513,-50.892
-4.484,-50.75
-4.485,-50.759
-4.471,-50.724
-3.955,-47.354
-3.957,-47.366
-4.009,-47.92
-4.01,-47.931
-4.005,-47.916
-4.007,-47.927
-4.312,-50.252
-3.862,-47.28
-3.864,-47.292
-4.105,-50.802
-4.106,-50.811
-4.096,-50.803
-4.097,-50.812
-3.881,-49.37
-3.781,-50.53
-3.782,-50.539
-3.783,-50.547
-3.758,-50.56
-3.759,-50.569
-3.55,-49.817
-3.551,-49.826
-3.685,-50.893
-3.572,-50.225
-3.533,-50.341
-3.354,-49.217
-3.355,-49.226
-3.532,-50.529
-3.533,-50.538
-3.164,-48.095
-3.466,-50.192
-3.285,-49.13
-3.287,-49.139
-3.462,-50.357
-3.463,-50.366
-3.496,-50.598
-3.276,-49.131
-3.277,-49.141
-3.486,-50.59
-3.487,-50.599
-3.412,-50.135
-3.417,-50.306
-3.47,-50.736
-3.471,-50.745
-3.416,-50.425
-3.417,-50.433
-3.412,-50.653
-3.339,-50.66
-3.341,-50.669
-3.276,-50.405
-3.293,-50.53
-3.267,-50.406
-3.268,-50.415
-3.025,-48.842
-3.026,-48.851
-3.017,-48.853
-3.277,-50.676
-3.278,-50.684
-3.27,-50.822
-3.26,-50.815
-3.261,-50.823
-3.152,-50.891
-3.142,-50.889
-2.715,-48.17
-2.719,-48.267
-2.959,-50.384
-2.961,-50.393
-2.95,-50.385
-2.952,-50.394
-2.941,-50.387
-2.943,-50.396
-2.933,-50.388
-2.934,-50.397
-3.025,-51.04
-2.982,-51.061
-2.983,-51.07
-2.661,-48.869
-2.662,-48.879
-2.535,-48.132
-2.537,-48.143
-2.868,-51.614
-2.697,-51.706
-1.891,-54.144
7.118,-3.194
32.136,6.477
31.821,6.228
31.591,5.965
29.693,6.701
28.736,9.79
28.69,7.192
28.688,7.202
16.087,-6.403
16.085,-6.411
-21.233,165.261
-20.368,164.536
51.496,6.744
51.487,6.718
51.363,6.71
48.282,14.331
35.809,-0.252
50.61,128.906
50.608,128.92
50.613,128.686
50.611,128.7
50.01,128.291
50.008,128.305
50.746,116.062
50.486,120.136
48.019,132.736
47.115,130.295
47.113,130.309
47.107,130.3
45.865,134.505
45.865,134.499
46.159,129.356
45.745,130.57
45.743,130.583
45.132,133.335
44.555,132.75
44.552,132.767
44.479,132.337
44.476,132.353
45.198,126.185
44.56,129.855
44.584,129.367
44.562,129.496
44.555,129.379
45.036,125.389
44.631,128.072
44.106,129.219
44.097,128.467
42.99,126.397
42.888,126.528
42.847,126.56
42.772,126.246
42.454,128.105
42.592,126.531
42.385,124.169
42.064,124.308
42.024,124.119
36.982,126.708
-31.857,115.903
-31.991,115.94
-32.064,115.909
-32.067,115.924
-32.845,116.426
-1.912,120.681
-1.91,120.676
-1.89,115.867
-2.951,122.231
-2.953,122.251
-2.963,122.243
-3.293,121.696
-3.448,119.406
-3.901,122.425
-3.999,121.791
-3.997,121.785
-4.429,122.992
-4.432,122.986
-3.204,113.911
-3.382,114.615
-3.43,114.692
-3.57,114.706
-3.64,114.745
-3.763,114.638
-3.407,111.989
-3.45,111.858
-5.179,122.38
-5.185,122.373
-7.081,114.651
-8.519,122.958
-8.516,122.951
-8.309,120.361
-8.222,119.013
-9.043,125.119
-9.041,125.114
-7.398,111.465
-8.591,118.356
-8.593,118.37
-8.001,113.657
-9.537,123.978
-8.788,117.784
-8.047,111.823
-10.136,124.135
-13.794,123.329
-13.781,123.324
-17.747,122.774
-17.733,122.768
-17.75,122.767
-17.781,122.724
-17.788,122.803
-17.784,122.719
-17.791,122.797
15.955,121.177
15.953,121.187
15.274,120.068
15.267,120.114
15.015,120.743
14.99,120.175
14.592,120.554
14.483,120.903
14.135,121.119
14.133,121.129
11.245,122.065
11.026,122.152
11.011,122.057
5.214,114.742
5.213,114.735
5.211,114.746
2.853,117.371
2.157,117.158
2.042,117.309
2.041,117.318
1.041,120.824
0.775,122.272
1.068,117.046
0.821,117.469
0.675,117.461
0.474,116.951
0.473,116.96
0.51,116.577
0.356,116.434
0.355,116.443
0.267,116.603
0.237,116.619
0.176,116.474
0.181,116.315
0.179,116.324
0.135,116.499
0.131,116.28
0.13,116.289
0.054,116.426
-0.041,116.822
-0.063,116.152
-0.205,116.371
-0.33,115.841
-0.364,115.638
-1.395,120.76
27.662,117.031
26.866,118.516
26.865,118.529
24.303,121.413
22.662,111.679
-26.437,-69.482
-18.187,-62.337
-17.899,-62.275
-17.906,-62.31
-17.882,-62.278
-17.892,-62.281
-17.899,-62.316
-17.18,-61.897
-17.188,-61.936
-16.848,-61.165
-16.851,-61.171
-16.091,-62.905
-16.075,-62.908
-16.078,-62.879
-16.084,-62.913
-16.011,-63.137
-16.017,-63.17
-16.003,-63.144
-15.455,-65.942
-15.18,-64.587
-15.284,-65.805
-15.288,-65.827
-15.289,-65.811
-14.932,-65.233
-14.695,-65.371
-14.699,-65.395
-14.78,-65.849
-14.681,-65.374
-14.686,-65.398
-14.767,-65.852
-14.69,-65.379
-14.694,-65.402
-14.768,-65.835
-14.676,-65.381
1.219,-50.956
1.218,-50.965
1.215,-50.983
1.214,-50.992
1.262,-51.106
1.578,-50.505
3.556,-51.284
9.636,-63.56
9.639,-63.567
9.656,-63.569
9.649,-63.608
9.643,-63.646
9.743,-63.469
9.652,-63.613
9.645,-63.651
9.73,-63.472
-36.745,-72.357
-34.467,150.88
-33.211,147.133
-32.453,146.135
-31.535,151.793
-32.185,146.98
-32.187,146.966
-32.175,146.978
-32.177,146.964
-32.224,145.855
-32.077,146.146
-30.984,152.422
-30.975,152.42
-30.977,152.409
-30.966,152.419
-30.874,152.239
-30.875,152.228
-30.877,152.217
-30.879,152.206
-30.881,152.195
-30.882,152.184
-30.884,152.174
-30.873,152.182
-30.875,152.171
-30.876,152.161
-30.857,152.224
-30.862,152.19
-30.864,152.18
-30.866,152.169
-30.853,152.189
-30.855,152.178
-30.856,152.167
-30.842,152.198
-30.844,152.187
-30.845,152.176
-30.847,152.165
-30.849,152.155
-30.838,152.179
-30.84,152.169
-30.841,152.158
-30.829,152.177
-30.83,152.167
-30.832,152.156
-30.834,152.145
-30.658,152.677
-30.646,152.687
-30.648,152.676
-30.763,151.036
-30.765,151.026
-30.683,151.501
-30.754,151.035
-30.756,151.024
-30.15,152.592
-30.141,152.591
-30.129,152.6
-30.131,152.589
-30.127,152.595
-29.998,152.511
-30,152.5
-30.002,152.488
-29.989,152.51
-30.308,150.195
-30.31,150.185
-30.311,150.175
-30.299,150.194
-30.301,150.183
-30.302,150.173
-30.292,150.181
-30.262,150.133
-29.043,153.2
